original_code,normalized_id,city_state
ABE,701,Taranto, Italy
MPL,702,Montpellier, France
YMX,703,Montreal, Canada
YQR,704,Regina, Canada
SDL,705,Cleveland, OH
GBH,706,Fairbanks, AK
ORT,707,Fairbanks, AK
VWE,708,Kenmore, WA
MYR,709,Myrtle Beach, SC
TEH,710,Fairbanks, AK
BRY,711,Smyrna, TN
OSU,712,Pontiac, MI
MWA,713,Marion/Herrin, IL
DSI,714,Tampa, FL
GA7,715,Greensboro, GA
PHO,716,Point Hope, AK
ATK,717,Barter Island, AK
BIS,718,Denver, CO
ALO,719,Smyrna, TN
DVT,720,Phoenix, AZ
DQS,721,Grand Canyon, AZ
SVC,722,Silver City/Hurley, NM
CFT,723,Silver City/Hurley, NM
SAD,724,Safford, AZ
L41,725,Marble Canyon, AZ
DTO,726,Denton, TX
JLN,727,Quincy, IL
OR5,728,Hawthorne, CA
RWI,729,Dallas, TX
FPO,730,Freeport, The Bahamas
WJF,731,Carlsbad, CA
TX6,732,Horseshoe Bay, TX
TX1,733,Horseshoe Bay, TX
LVM,734,Livingston, MT
MOB,735,Nashville, TN
WWD,736,Cape May, NJ
CGF,737,Cape May, NJ
AVL,738,Destin, FL
MRF,739,Dallas, TX
MVW,740,Napa, CA
SAA,741,Hawthorne, CA
DLH,742,Duluth, MN
SBM,743,Sheboygan, WI
TLC,744,Charleston, SC
1G4,745,Whitmore, AZ
QAJ,746,Globe, AZ
VWN,747,Burbank, CA
GYR,748,Goodyear, AZ
CHA,749,Tallahassee, FL
EKO,750,Elko, NV
OGD,751,Hawthorne, CA
SLE,752,Salem, OR
SJT,753,Eagle, CO
BLM,754,Tampa, FL
NEW,755,New Orleans, LA
BGT,756,Phoenix, AZ
AZ8,757,Phoenix, AZ
SCK,758,Stockton, CA
GCM,759,Dallas/Fort Worth, TX
YDN,760,Dauphin, Canada
JAN,761,Santa Ana, CA
TKI,762,Tokeen, AK
YHM,763,Van Nuys, CA
UXR,764,Monument Valley, UT
PGS,765,Peach Springs, AZ
MCE,766,Merced, CA
PAE,767,Oakland, CA
IDA,768,Idaho Falls, ID
RIW,769,Riverton/Lander, WY
SLK,770,Saranac Lake/Lake Placid, NY
ACT,771,Van Nuys, CA
ERV,772,Kerrville, TX
TVC,773,Kerrville, TX
TCL,774,Santa Ana, CA
NMC,775,Miami, FL
CO7,776,Meeker, CO
AR1,777,Rifle, CO
OXR,778,Seattle, WA
RSD,779,Rock Sound, The Bahamas
SPS,780,Wichita Falls, TX
OTH,781,Hawthorne, CA
MWH,782,Moses Lake, WA
MHV,783,Mojave, CA
TLA,784,Teller, AK
WMO,785,Teller, AK
OCF,786,Ocala, FL
ABL,787,Fairbanks, AK
CFV,788,Coffeyville, KS
BGI,789,West Palm Beach/Palm Beach, FL
MAD,790,Bedford, MA
TMB,791,Miami, FL
PWN,792,Pitts Town, The Bahamas
GHC,793,Great Harbour Cay, The Bahamas
GHB,794,Governors Harbour, The Bahamas
FPR,795,Nassau, The Bahamas
CCZ,796,Chub Cay, The Bahamas
CAT,797,Fort Lauderdale, FL
CBA,798,Juneau, AK
TKE,799,Tenakee, AK
FAK,800,False Island, AK
ELV,801,Juneau, AK
DUB,802,Dublin, Ireland
LUG,803,Teterboro, NJ
MER,804,Moses Lake, WA
YVQ,805,Norman Wells, Canada
KPC,806,Teller, AK
KTS,807,Brevig Mission, AK
ELI,808,Elim, AK
WAA,809,Nome, AK
SHH,810,Shishmaref, AK
SVA,811,Nome, AK
GLV,812,Elim, AK
KKA,813,Koyuk, AK
GAM,814,Nome, AK
MHM,815,Fairbanks, AK
KVC,816,King Cove, AK
7AK,817,Akun, AK
NLG,818,Nelson Lagoon, AK
SDP,819,Sandpoint, AK
IKO,820,Nikolski, AK
BIM,821,Bimini, The Bahamas
LAL,822,Miami, FL
MYU,823,Mekoryuk, AK
HHH,824,Charlotte, NC
BIL,825,Billings, MT
LRU,826,El Paso, TX
AMW,827,Ames, IA
T6X,828,Houston, TX
MFE,829,Houston, TX
PMI,830,Buffalo, NY
FAO,831,Faro, Portugal
TRF,832,Rochester, MN
CEQ,833,Detroit, MI
YYT,834,Houston, TX
AMS,835,Amsterdam, Netherlands
LPL,836,Boston, MA
CTG,837,Cartagena, Colombia
MTH,838,Chub Cay, The Bahamas
TBU,839,Tonga Tapu, Tonga
PPG,840,Tonga Tapu, Tonga
CEM,841,Circle, AK
BHX,842,Las Vegas, NV
YKA,843,Salt Lake City, UT
FSD,844,Vancouver, Canada
LIS,845,Lisbon, Portugal
LYS,846,Lyon, France
KLW,847,Klawock, AK
PML,848,Port Moller, AK
MDO,849,Middleton Island, AK
KCG,850,Anchorage, AK
HGZ,851,Anchorage, AK
LIN,852,Milan, Italy
PSA,853,West Palm Beach/Palm Beach, FL
TSF,854,Venice, Italy
YXE,855,Saskatoon, Canada
YZF,856,Bozeman, MT
YCM,857,Teterboro, NJ
MA3,858,Taunton, MA
JFN,859,Jefferson, OH
ILG,860,Wilmington, DE
HFD,861,Wilmington, DE
MD2,862,Indian Head, MD
LDM,863,Nantucket, MA
HTO,864,East Hampton, NY
BTV,865,Burlington, VT
MPV,866,Montpelier/Barre, VT
PNN,867,Princeton, ME
NC7,868,Portsmouth, NH
ITH,869,Ithaca/Cortland, NY
TVI,870,Thomasville, GA
PVC,871,Provincetown, MA
OXC,872,Provincetown, MA
CGS,873,East Farmingdale, NY
JZU,874,Bennington, VT
ISP,875,Bennington, VT
RCE,876,Roche Harbor, WA
SQL,877,San Carlos, CA
VUO,878,Hillsboro, OR
CLM,879,Eastsound, WA
EAT,880,Everett, WA
YKM,881,Everett, WA
AST,882,Everett, WA
CVO,883,Pasco/Kennewick/Richland, WA
QBC,884,Bella Coola, Canada
BDY,885,Everett, WA
WA5,886,Sun Valley/Hailey/Ketchum, ID
SMN,887,Salmon, ID
WYS,888,West Yellowstone, MT
AUN,889,Auburn, CA
MYL,890,Seattle, WA
YYD,891,Smithers, Canada
SFF,892,Sequim, WA
PUW,893,Seattle, WA
SKB,894,St. Kitts, Saint Kitts and Nevis
WCR,895,Chandalar, AK
LNI,896,Lonely, AK
TKA,897,Talkeetna, AK
WWA,898,Wasilla, AK
SHG,899,Shungnak, AK
